Country,Year_1,Month_1,type,Event Category,EventDescription
Afghanistan,2004,January,Resistance,Post-democratic transition to new constitution,"The government of Afghanistan created a democratic system of government based on that of the U.S. with a presidential system and 3 governing branches that divide power (executive, legislative, and judicial)"
Afghanistan,2004,January,Resistance,Increase in civic capacity,"The new constitution of Afghanistan made women and men more explicitly equal in the eyes of the law, which allowed women to run for office and have an increased role in government; this increased civic capacity to be involved in government and collective action for half of the population"
Afghanistan,2015,January,Destabilizing Event,Regional unrest spillover,"The Islamic State group (IS) operates outside of national borders and has an affiliate group, IS-K, that emerged in Afghanistan in early 2015, later causing violent conflict with both government forces and the Taliban in a spillover of regional IS conflict"
Afghanistan,2018,October,Destabilizing Event,Non-state violence,"The Taliban, an Islamist terrorist group, staged multiple violent attacks on civilians and candidates surrounding the 2018 parliamentary elections in Afghanistan"
Afghanistan,2019,August,Destabilizing Event,Non-state violence,"The Taliban, an Islamist terrorist group, staged multiple violent attacks on civilians and candidates surrounding the 2019 presidential elections in Afghanistan"
Afghanistan,2021,April,Destabilizing Event,External influence or Invasion,"The US fully withdrew its military support from Afghanistan, ending the Afghan alliance with a foreign actor and stopping the transport of troops, weapons, and training to internal Afghan forces"
Afghanistan,2021,August,Destabilizing Event,Coup or regime collapse,"In a successful, non-promissory, violent coup by the Taliban, most of Afghanistan was conquered within a few days; the previous government collapsed and President Ashraf Ghani fled the country once the Taliban finally reached Kabul (the capital)"
Albania,2006,May,Resistance,State attempts to prevent backsliding,"The Albanian government signed the Stabilization and Association Agreement (SAA) with the European Union, with the expressed aims of the agreement being ""to support the efforts of Albania to strengthen democracy"" and liberalize trade relations between the two parties"
Albania,2006,November,Precursor,Vertical corruption,"Prime Minister Sali Barisha artificially increased the price of land held by his daughter and her clients by moving an energy park there, leading them to pocket nearly 1.2 million euros in the process"
Albania,2008,April,Precursor,Malapportionment,"The 2008 constitutional revision raised the voting threshold for parties to win seats in the parliament, thus making it harder for smaller parties to gain representation. Championed by the Democratic and Socialist parties (majority parties) under the guise of EU accession, constitutional changes are made to the electoral system, from a mixed-member system where 100 members were elected directly and remaining 40 were chosen by the parties in proportion to the national vote to a regional-proportional system with 12 regions as constituencies with a set amount of seats to fill. This drastically favored the majority parties who held 136 seats in 2009 (95% of parliamentary seats with only 85% of the popular voted), compared to 98 in 2008."
