"fairelec","contrib","concede","equalvote","turnout","equalrights","speech","protest","media","limits","judicial","facts","vote","rating"
NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,"Harris",50
NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Harris",39
4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Harris",40
4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,"Harris",83
NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,"Trump",25
NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,"Trump",93
NA,2,NA,NA,NA,NA,NA,3,4,NA,3,NA,"Trump",50
NA,NA,NA,4,NA,4,NA,NA,NA,3,NA,NA,"Trump",94
NA,2,3,NA,NA,NA,2,NA,2,NA,NA,4,"Abstained",80
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",70
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"Trump",94
NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,"Abstained",60
NA,3,NA,NA,3,4,NA,NA,NA,NA,NA,3,"Trump",87
NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,"Abstained",71
NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Harris",60
NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,"Harris",75
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Harris",0
NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,"Harris",40
4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,"Harris",30
NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",50
NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,"Harris",39
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",80
4,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,"Harris",62
NA,NA,2,NA,NA,NA,1,NA,4,NA,NA,NA,"Abstained",3
2,NA,NA,NA,3,2,NA,NA,3,NA,NA,NA,"Abstained",65
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Other",39
NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Trump",92
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"Trump",31
NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,"Abstained",28
NA,3,NA,NA,NA,NA,NA,2,NA,NA,2,NA,"Trump",66
4,NA,NA,NA,NA,NA,3,NA,3,NA,NA,2,"Harris",27
NA,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,"Harris",70
4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,"Trump",80
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,"Trump",60
2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,2,"Abstained",49
NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,"Harris",11
NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Harris",61
4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Harris",92
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,"Abstained",39
NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"Trump",59
